OFFICIAL BANK STATEMENT
Generated On,2026-09-06 23:25:43

CUSTOMER PROFILE
Customer ID,5001
Name,Ritesh 
Mobile,21131231
Email,ritesh@gmail.com

ACCOUNT DETAILS
Account Number,10001
Account Type,CURRENT
Current Balance,Rs 88043.00

TRANSACTION LEDGER
Date & Time,Transaction Type,Amount (Rs),Balance After (Rs)
2026-09-06 23:09:24,INITIAL_DEP,100000.00,100000.00
2026-09-06 23:12:02,DEPOSIT,1000.00,101000.00
2026-09-06 23:12:09,DEPOSIT,1234.00,102234.00
2026-09-06 23:12:17,WITHDRAWAL,1234.00,101000.00
2026-09-06 23:13:16,FD_CREATION,15000.00,86000.00
2026-09-06 23:25:23,DEPOSIT,1234.00,87234.00
2026-09-06 23:25:28,DEPOSIT,456.00,87690.00
2026-09-06 23:25:31,DEPOSIT,20.00,87710.00
2026-09-06 23:25:33,DEPOSIT,567.00,88277.00
2026-09-06 23:25:38,WITHDRAWAL,234.00,88043.00
